txn_id,txn_date,description,amount,dr_cr,balance,normalized_description,transaction_type,merchant_name
T006475,13/10/24,POS PURCHASE DMART MUMBAI,10568.59,DR,-2438394.17,POS PURCHASE DMART MUMBAI,CARD,DMART MUMBAI
T006476,10/10/24,UPI/DR/65147054/PAID TO RAMESH K/AXISBANK,654.59,DR,-2439048.76,UPI DR 65147054 PAID TO RAMESH K AXISBANK,UPI,RAMESH K AXISBANK
T006477,10/10/24,UPI/DR/76988422/BIGBAZAR/PHX750,1594.51,DR,-2440643.27,UPI DR 76988422 BIGBAZAR PHX750,UPI,BIGBAZAR
T006478,12/10/24,UPI/CR/74905660/CASHBACK PAYTM,720.52,CR,-2439922.75,UPI CR 74905660 CASHBACK PAYTM,UPI,CASHBACK PAYTM
T006479,11/10/24,ACH DR INSURANCE PREMIUM-STAR HEALTH,9699.77,DR,-2449622.52,ACH DR INSURANCE PREMIUM STAR HEALTH,ACH-DR,PREMIUM STAR
T006480,14/10/24,NEFT CR TAX REFUND GOVT,122558.08,CR,-2327064.44,NEFT CR TAX REFUND GOVT,NEFT,TAX REFUND
T006481,10/10/24,POS SALE AT FLIPKART INTERNET,787.09,DR,-2327851.53,POS SALE AT FLIPKART INTERNET,CARD,FLIPKART INTERNET
T006482,10/10/24,IMPS/CR/80739802/CLIENT PAYMENT,40631.31,CR,-2287220.22,IMPS CR 80739802 CLIENT PAYMENT,IMPS,CLIENT
T006483,11/10/24,POS 3103 SWIPE AT MYNTRA FASHION,1088.43,DR,-2288308.65,POS 3103 SWIPE AT MYNTRA FASHION,CARD,MYNTRA FASHION
T006484,12/10/24,UPI/DR/96863385/UBER/1171,990.66,DR,-2289299.31,UPI DR 96863385 UBER 1171,UPI,UBER
T006485,12/10/24,UPI/DR/33856855/FLIPKART*CABS9810,3634.43,DR,-2292933.74,UPI DR 33856855 FLIPKART CABS9810,UPI,FLIPKART
T006486,13/10/24,POS PURCHASE INDIAN OIL PUNE,12224.17,DR,-2305157.91,POS PURCHASE INDIAN OIL PUNE,CARD,INDIAN OIL
T006487,13/10/24,IMPS/DR/56492532/JIO RECHARGE,1973.79,DR,-2307131.7,IMPS DR 56492532 JIO RECHARGE,IMPS,JIO RECHARGE
T006488,11/10/24,UPI/DR/76802756/MYNTRA*RIDE5572,340.5,DR,-2307472.2,UPI DR 76802756 MYNTRA RIDE5572,UPI,MYNTRA
T006489,12/10/24,POS SALE AT RELIANCE TRENDS,2715.78,DR,-2310187.98,POS SALE AT RELIANCE TRENDS,CARD,RELIANCE TRENDS
T006490,12/10/24,POS PURCHASE DOMINOS PUNE,14361.89,DR,-2324549.87,POS PURCHASE DOMINOS PUNE,CARD,DOMINOS PUNE
T006491,10/10/24,POS 8512 SWIPE AT SHELL PETROL BANGALORE,8170.78,DR,-2332720.65,POS 8512 SWIPE AT SHELL PETROL BANGALORE,CARD,SHELL PETROL BANGALORE
T006492,13/10/24,UPI/DR/32655415/UBER/4608,1549.65,DR,-2334270.3,UPI DR 32655415 UBER 4608,UPI,UBER
T006493,11/10/24,UPI/DR/66052158/MYNTRA/5778,1937.0,DR,-2336207.3,UPI DR 66052158 MYNTRA 5778,UPI,MYNTRA
T006494,14/10/24,UPI/DR/42528171/AMAZN PAY BILL PAY,6661.82,DR,-2342869.12,UPI DR 42528171 AMAZN PAY BILL PAY,UPI,AMAZN PAY BILL PAY
T006495,11/10/24,NEFT CR TAX REFUND GOVT,57695.34,CR,-2285173.78,NEFT CR TAX REFUND GOVT,NEFT,TAX REFUND
T006496,10/10/24,UPI/DR/94950925/MYNTRA*RIDE8483,3220.19,DR,-2288393.97,UPI DR 94950925 MYNTRA RIDE8483,UPI,MYNTRA
T006497,12/10/24,POS PURCHASE HPCL DELHI,12519.88,DR,-2300913.85,POS PURCHASE HPCL DELHI,CARD,HPCL DELHI
T006498,12/10/24,UPI/DR/13597126/BIGBAZAR/ORB300,965.46,DR,-2301879.31,UPI DR 13597126 BIGBAZAR ORB300,UPI,BIGBAZAR ORB300
T006499,11/10/24,UPI/CR/33097318/CASHBACK PHONEPE,551.13,CR,-2301328.18,UPI CR 33097318 CASHBACK PHONEPE,UPI,CASHBACK
T006500,12/10/24,IMPS/DR/57966380/GPAY MERCHANT,849.17,DR,-2302177.35,IMPS DR 57966380 GPAY MERCHANT,IMPS,GPAY MERCHANT
T006501,12/10/24,POS PURCHASE SHELL PETROL BANGALORE,7571.4,DR,-2309748.75,POS PURCHASE SHELL PETROL BANGALORE,CARD,SHELL PETROL BANGALORE
T006502,11/10/24,POS 6254 SWIPE AT KFC BANGALORE,4758.9,DR,-2314507.65,POS 6254 SWIPE AT KFC BANGALORE,CARD,KFC BANGALORE
T006503,11/10/24,UPI/DR/46193334/MMT*BUS TICKET,1362.46,DR,-2315870.11,UPI DR 46193334 MMT BUS TICKET,UPI,MMT BUS
