txn_id,txn_date,description,amount,dr_cr,balance,normalized_description,transaction_type,type_matched,type_score,type_rule,merchant_name,category
T000081,15/08/24,UPI/DR/36619372/GOIBIBO*HOTEL BOOKING,949.93,DR,112702.88,UPI DR 36619372 GOIBIBO HOTEL BOOKING,UPI,UPI,1,regex,GOIBIBO HOTEL BOOKING,Accommodation or Hotels
T000084,15/08/24,UPI/DR/71705170/MMT*HOTEL BOOKING,5910.29,DR,103416.96,UPI DR 71705170 MMT HOTEL BOOKING,UPI,UPI,1,regex,MMT HOTEL BOOKING,Accommodation or Hotels
T000253,18/08/24,UPI/DR/18359252/GOIBIBO*HOTEL BOOKING,4552.96,DR,-234867.16,UPI DR 18359252 GOIBIBO HOTEL BOOKING,UPI,UPI,1,regex,GOIBIBO HOTEL BOOKING,Accommodation or Hotels
T000463,20/08/24,UPI/DR/39709238/AMAZN PAY HOTEL BOOKING,2262.31,DR,-951802.75,UPI DR 39709238 AMAZN PAY HOTEL BOOKING,UPI,UPI,1,regex,AMAZN PAY HOTEL,Accommodation or Hotels
T000505,20/08/24,UPI/DR/77856130/MMT*HOTEL BOOKING,737.69,DR,-1130177.75,UPI DR 77856130 MMT HOTEL BOOKING,UPI,UPI,1,regex,MMT HOTEL BOOKING,Accommodation or Hotels
T000639,18/08/24,UPI/DR/43415162/MMT*HOTEL BOOKING,5940.31,DR,-1067797.04,UPI DR 43415162 MMT HOTEL BOOKING,UPI,UPI,1,regex,MMT HOTEL BOOKING,Accommodation or Hotels
T000978,24/08/24,UPI/DR/13599088/MMT*HOTEL BOOKING,5250.46,DR,-1448713.53,UPI DR 13599088 MMT HOTEL BOOKING,UPI,UPI,1,regex,MMT HOTEL BOOKING,Accommodation or Hotels
T000010,17/08/24,ACH DR EMI-SBI ECS,4456.15,DR,146517.01,ACH DR EMI SBI ECS,ACH-DR,ACH DR,1,regex,SBI ECS,Banking
T000158,16/08/24,ACH DR EMI-HDFC BANK ECS,5124.42,DR,-75735.91,ACH DR EMI HDFC BANK ECS,ACH-DR,ACH DR,1,regex,EMI HDFC BANK,Banking
T000187,16/08/24,ACH DR EMI-SBI ECS,17156.85,DR,-238391.86,ACH DR EMI SBI ECS,ACH-DR,ACH DR,1,regex,EMI SBI ECS,Banking
T000232,19/08/24,ACH DR EMI-HDFC BANK ECS,23868.03,DR,-130107.71,ACH DR EMI HDFC BANK ECS,ACH-DR,ACH DR,1,regex,EMI HDFC BANK,Banking
T000233,17/08/24,ACH DR EMI-AXIS BANK ECS,15002.7,DR,-145110.41,ACH DR EMI AXIS BANK ECS,ACH-DR,ACH DR,1,regex,EMI AXIS BANK,Banking
